Event,Start_Date,Type
Gulf War,1990-08-02,Conflict
OPEC Production Cut,1998-03-31,OPEC Decision
2008 Global Financial Crisis,2008-09-15,Economic Shock
Arab Spring,2011-01-25,Political
Libya Civil War,2011-02-15,Conflict
Russia-Ukraine Tensions,2014-03-01,Political
Oil Price Collapse,2014-11-28,Market Shock
COVID-19 Lockdowns,2020-03-01,Pandemic
OPEC+ Production Cut,2020-04-12,OPEC Decision
Russia-Ukraine Full-scale War,2022-02-24,Conflict
US-Iran Tensions,2019-05-05,Political
Venezuela Oil Crisis,2017-08-01,Economic Shock
Iraq War,2003-03-20,Conflict
Oil Price Rebound,2009-06-01,Market Recovery
Saudi Arabia Production Cut,2016-01-01,OPEC Decision
